route_id,agency_id,route_short_name,route_long_name,route_type
"2-ALM-B-mjp-1","1","Alamein","Alamein - City (Flinders Street)","2"
"2-ALM-C-mjp-1","1","Alamein","Alamein - City (Flinders Street)","2"
"2-ALM-D-mjp-1","1","Alamein","Alamein - City (Flinders Street)","2"
"2-ALM-E-mjp-1","1","Alamein","Alamein - City (Flinders Street)","2"
"2-ALM-F-mjp-1","1","Alamein","Alamein - City (Flinders Street)","2"
"2-BEL-B-mjp-1","1","Belgrave","City (Flinders Street) - Belgrave","2"
"2-BEL-C-mjp-1","1","Belgrave","City (Flinders Street) - Belgrave","2"
"2-BEL-D-mjp-1","1","Belgrave","City (Flinders Street) - Belgrave","2"
"2-BEL-E-mjp-1","1","Belgrave","City (Flinders Street) - Belgrave","2"
"2-BEL-F-mjp-1","1","Belgrave","City (Flinders Street) - Belgrave","2"
"2-BDM-B-mjp-1","1","Craigieburn","Craigieburn - City (Flinders Street)","2"
"2-BDM-C-mjp-1","1","Craigieburn","Craigieburn - City (Flinders Street)","2"
"2-BDM-D-mjp-1","1","Craigieburn","Craigieburn - City (Flinders Street)","2"
"2-BDM-E-mjp-1","1","Craigieburn","Craigieburn - City (Flinders Street)","2"
"2-BDM-F-mjp-1","1","Craigieburn","Craigieburn - City (Flinders Street)","2"
"2-CRB-B-mjp-1","1","Cranbourne","Cranbourne - City (Flinders Street)","2"
"2-CRB-C-mjp-1","1","Cranbourne","Cranbourne - City (Flinders Street)","2"
"2-CRB-D-mjp-1","1","Cranbourne","Cranbourne - City (Flinders Street)","2"
"2-CRB-E-mjp-1","1","Cranbourne","Cranbourne - City (Flinders Street)","2"
"2-CRB-F-mjp-1","1","Cranbourne","Cranbourne - City (Flinders Street)","2"
"2-ain-mjp-1","1","Flemington","Flinders Street - Showgrounds/Flemington","2"
"2-FKN-B-mjp-1","1","Frankston","Frankston - City (Flinders Street)","2"
"2-FKN-C-mjp-1","1","Frankston","Frankston - City (Flinders Street)","2"
"2-FKN-D-mjp-1","1","Frankston","Frankston - City (Flinders Street)","2"
"2-FKN-E-mjp-1","1","Frankston","Frankston - City (Flinders Street)","2"
"2-FKN-F-mjp-1","1","Frankston","Frankston - City (Flinders Street)","2"
