stop_id,stop_name,stop_short_name,stop_lat,stop_lon
"15351","Sunbury Railway Station","Sunbury","-37.5790909705787","144.727318781329"
"15353","Diggers Rest Railway Station","Diggers Rest","-37.6270165149357","144.719922441113"
"19827","Stony Point Railway Station","Crib Point","-38.3742345364937","145.221837462187"
"19828","Crib Point Railway Station","Crib Point","-38.3661233827862","145.204043321601"
"19829","Morradoo Railway Station","Crib Point","-38.3540333365844","145.189602487712"
"19830","Bittern Railway Station","Bittern","-38.3373903202406","145.178026527511"
"19831","Hastings Railway Station","Hastings","-38.3056585273722","145.185979882012"
"19832","Tyabb Railway Station","Tyabb","-38.2598150046916","145.186400708984"
"19833","Somerville Railway Station","Somerville","-38.2253419593114","145.1762449189"
"19834","Baxter Railway Station","Baxter","-38.1940430573051","145.160526087615"
"19835","Glen Iris Railway Station","Glen Iris","-37.8593084165858","145.058224898221"
"19836","Leawarra Railway Station","Frankston","-38.1520339975222","145.139533963382"
"19837","Darling Railway Station","Malvern East","-37.8689568446092","145.062950826245"
"19838","East Malvern Railway Station","Malvern East","-37.8769300156728","145.0693930023"
"19839","Holmesglen Railway Station","Malvern East","-37.8744022200498","145.090662027436"
"19840","Jordanville Railway Station","Mount Waverley","-37.8736033933188","145.112090156436"
"19841","Flagstaff Railway Station","Melbourne City","-37.8119813073807","144.955653760429"
"19842","Melbourne Central Railway Station","Melbourne City","-37.8099387667386","144.962593535096"
"19843","Parliament Railway Station","Melbourne City","-37.8110540555305","144.972910916416"
"19844","Belgrave Railway Station","Belgrave","-37.9091020974712","145.355291282858"
"19845","Tecoma Railway Station","Tecoma","-37.9081184864021","145.342994577662"
"19846","Upwey Railway Station","Upwey","-37.9036909717454","145.331333355214"
"19847","Alamein Railway Station","Ashburton","-37.8683203919866","145.079655668512"
"19848","Ashburton Railway Station","Ashburton","-37.8619675331692","145.081343759057"
"19849","Burwood Railway Station","Glen Iris","-37.8515632823172","145.080511068965"
"19850","Hartwell Railway Station","Camberwell","-37.8439845657174","145.075559591232"
"19851","Willison Railway Station","Camberwell","-37.8357156505359","145.070297555357"
"19852","Riversdale Railway Station","Camberwell","-37.8315054341723","145.069645982205"
"19853","Camberwell Railway Station","Camberwell","-37.8265671441669","145.058697177155"
"19854","Flinders Street Railway Station","Melbourne City","-37.8183051340585","144.966964346166"
"19855","Frankston Railway Station","Frankston","-38.1429900671654","145.126162282251"
"19856","Kananook Railway Station","Seaford","-38.121742033539","145.13529534058"
"19857","Seaford Railway Station","Seaford","-38.104021039668","145.128230402217"
"19858","Carrum Railway Station","Carrum","-38.0748929182559","145.122418267271"
"19859","Bonbeach Railway Station","Bonbeach","-38.0629447836562","145.119680438871"
"19860","Chelsea Railway Station","Chelsea","-38.0519553837882","145.116041326748"
"19861","Edithvale Railway Station","Edithvale","-38.0380560155673","145.108535545056"
"19862","Aspendale Railway Station","Aspendale","-38.0272201944523","145.102149616841"
"19863","Mordialloc Railway Station","Mordialloc","-38.0065829507618","145.08765935746"
"19864","Parkdale Railway Station","Parkdale","-37.9930788207759","145.076326823728"
"19865","Mentone Railway Station","Mentone","-37.9818654019494","145.065165898742"
"19866","Cheltenham Railway Station","Cheltenham","-37.9666498944342","145.054557933026"
"19867","Upper Ferntree Gully Railway Station","Upper Ferntree Gully","-37.8926717009388","145.307530188155"
"19868","Ferntree Gully Railway Station","Ferntree Gully","-37.8816979923577","145.295251256598"
"19869","Boronia Railway Station","Boronia","-37.8604517998444","145.28438514597"
"19870","Bayswater Railway Station","Bayswater","-37.8417300410993","145.268136389217"
"19871","Heathmont Railway Station","Heathmont","-37.8283222725383","145.244555375848"
"19872","Highett Railway Station","Highett","-37.9484250041841","145.041871797791"
"19873","Glen Waverley Railway Station","Glen Waverley","-37.8795040720089","145.162057549621"
"19874","Syndal Railway Station","Glen Waverley","-37.8762296254895","145.149780487778"
"19875","Mount Waverley Railway Station","Mount Waverley","-37.8752552557019","145.128055695744"
"19876","Lilydale Railway Station","Lilydale","-37.7555177718931","145.347710240852"
"19877","Mooroolbark Railway Station","Mooroolbark","-37.7847488250808","145.312402399118"
"19878","Croydon Railway Station","Croydon","-37.7954369700624","145.280597770769"
